Turn 0
D0 | status = waiting | connection = None |remaining_time = 0 | zone = start
D1 | status = waiting | connection = None |remaining_time = 0 | zone = start
D2 | status = waiting | connection = None |remaining_time = 0 | zone = start
D3 | status = waiting | connection = None |remaining_time = 0 | zone = start
D4 | status = waiting | connection = None |remaining_time = 0 | zone = start
D5 | status = waiting | connection = None |remaining_time = 0 | zone = start
D6 | status = waiting | connection = None |remaining_time = 0 | zone = start
D7 | status = waiting | connection = None |remaining_time = 0 | zone = start
D8 | status = waiting | connection = None |remaining_time = 0 | zone = start
D9 | status = waiting | connection = None |remaining_time = 0 | zone = start
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 1
D0 | status = waiting | connection =  |remaining_time = 0 | zone = dist_gate1
D1 | status = waiting | connection = None |remaining_time = 0 | zone = start
D2 | status = waiting | connection = None |remaining_time = 0 | zone = start
D3 | status = waiting | connection = None |remaining_time = 0 | zone = start
D4 | status = waiting | connection = None |remaining_time = 0 | zone = start
D5 | status = waiting | connection = None |remaining_time = 0 | zone = start
D6 | status = waiting | connection = None |remaining_time = 0 | zone = start
D7 | status = waiting | connection = None |remaining_time = 0 | zone = start
D8 | status = waiting | connection = None |remaining_time = 0 | zone = start
D9 | status = waiting | connection = None |remaining_time = 0 | zone = start
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 2
D0 | status = waiting | connection =  |remaining_time = 0 | zone = maze_correct
D1 | status = waiting | connection = None |remaining_time = 0 | zone = start
D2 | status = waiting | connection = None |remaining_time = 0 | zone = start
D3 | status = waiting | connection = None |remaining_time = 0 | zone = start
D4 | status = waiting | connection = None |remaining_time = 0 | zone = start
D5 | status = waiting | connection = None |remaining_time = 0 | zone = start
D6 | status = waiting | connection = None |remaining_time = 0 | zone = start
D7 | status = waiting | connection = None |remaining_time = 0 | zone = start
D8 | status = waiting | connection = None |remaining_time = 0 | zone = start
D9 | status = waiting | connection = None |remaining_time = 0 | zone = start
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 3
D0 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck1
D1 | status = waiting | connection =  |remaining_time = 0 | zone = dist_gate1
D2 | status = waiting | connection = None |remaining_time = 0 | zone = start
D3 | status = waiting | connection = None |remaining_time = 0 | zone = start
D4 | status = waiting | connection = None |remaining_time = 0 | zone = start
D5 | status = waiting | connection = None |remaining_time = 0 | zone = start
D6 | status = waiting | connection = None |remaining_time = 0 | zone = start
D7 | status = waiting | connection = None |remaining_time = 0 | zone = start
D8 | status = waiting | connection = None |remaining_time = 0 | zone = start
D9 | status = waiting | connection = None |remaining_time = 0 | zone = start
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 4
D0 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck2
D1 | status = waiting | connection =  |remaining_time = 0 | zone = maze_correct
D2 | status = waiting | connection = None |remaining_time = 0 | zone = start
D3 | status = waiting | connection = None |remaining_time = 0 | zone = start
D4 | status = waiting | connection = None |remaining_time = 0 | zone = start
D5 | status = waiting | connection = None |remaining_time = 0 | zone = start
D6 | status = waiting | connection = None |remaining_time = 0 | zone = start
D7 | status = waiting | connection = None |remaining_time = 0 | zone = start
D8 | status = waiting | connection = None |remaining_time = 0 | zone = start
D9 | status = waiting | connection = None |remaining_time = 0 | zone = start
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 5
D0 | status = waiting | connection =  |remaining_time = 0 | zone = priority_hub
D1 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck1
D2 | status = waiting | connection =  |remaining_time = 0 | zone = dist_gate1
D3 | status = waiting | connection = None |remaining_time = 0 | zone = start
D4 | status = waiting | connection = None |remaining_time = 0 | zone = start
D5 | status = waiting | connection = None |remaining_time = 0 | zone = start
D6 | status = waiting | connection = None |remaining_time = 0 | zone = start
D7 | status = waiting | connection = None |remaining_time = 0 | zone = start
D8 | status = waiting | connection = None |remaining_time = 0 | zone = start
D9 | status = waiting | connection = None |remaining_time = 0 | zone = start
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 6
D0 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority1
D1 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck2
D2 | status = waiting | connection =  |remaining_time = 0 | zone = maze_correct
D3 | status = waiting | connection = None |remaining_time = 0 | zone = start
D4 | status = waiting | connection = None |remaining_time = 0 | zone = start
D5 | status = waiting | connection = None |remaining_time = 0 | zone = start
D6 | status = waiting | connection = None |remaining_time = 0 | zone = start
D7 | status = waiting | connection = None |remaining_time = 0 | zone = start
D8 | status = waiting | connection = None |remaining_time = 0 | zone = start
D9 | status = waiting | connection = None |remaining_time = 0 | zone = start
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 7
D0 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority2
D1 | status = waiting | connection =  |remaining_time = 0 | zone = priority_hub
D2 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck1
D3 | status = waiting | connection =  |remaining_time = 0 | zone = dist_gate1
D4 | status = waiting | connection = None |remaining_time = 0 | zone = start
D5 | status = waiting | connection = None |remaining_time = 0 | zone = start
D6 | status = waiting | connection = None |remaining_time = 0 | zone = start
D7 | status = waiting | connection = None |remaining_time = 0 | zone = start
D8 | status = waiting | connection = None |remaining_time = 0 | zone = start
D9 | status = waiting | connection = None |remaining_time = 0 | zone = start
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 8
D0 | status = waiting | connection =  |remaining_time = 0 | zone = final_merge
D1 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority1
D2 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck2
D3 | status = waiting | connection =  |remaining_time = 0 | zone = maze_correct
D4 | status = waiting | connection = None |remaining_time = 0 | zone = start
D5 | status = waiting | connection = None |remaining_time = 0 | zone = start
D6 | status = waiting | connection = None |remaining_time = 0 | zone = start
D7 | status = waiting | connection = None |remaining_time = 0 | zone = start
D8 | status = waiting | connection = None |remaining_time = 0 | zone = start
D9 | status = waiting | connection = None |remaining_time = 0 | zone = start
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 9
D0 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate1
D1 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority2
D2 | status = waiting | connection =  |remaining_time = 0 | zone = priority_hub
D3 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck1
D4 | status = waiting | connection =  |remaining_time = 0 | zone = dist_gate1
D5 | status = waiting | connection = None |remaining_time = 0 | zone = start
D6 | status = waiting | connection = None |remaining_time = 0 | zone = start
D7 | status = waiting | connection = None |remaining_time = 0 | zone = start
D8 | status = waiting | connection = None |remaining_time = 0 | zone = start
D9 | status = waiting | connection = None |remaining_time = 0 | zone = start
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 10
D0 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate2
D1 | status = waiting | connection =  |remaining_time = 0 | zone = final_merge
D2 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority1
D3 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck2
D4 | status = waiting | connection =  |remaining_time = 0 | zone = maze_correct
D5 | status = waiting | connection = None |remaining_time = 0 | zone = start
D6 | status = waiting | connection = None |remaining_time = 0 | zone = start
D7 | status = waiting | connection = None |remaining_time = 0 | zone = start
D8 | status = waiting | connection = None |remaining_time = 0 | zone = start
D9 | status = waiting | connection = None |remaining_time = 0 | zone = start
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 11
D0 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate3
D1 | status = waiting | connection =  |remaining_time = 0 | zone = final_gate1
D2 | status = waiting | connection =  |remaining_time = 0 | zone = conv_priority2
D3 | status = waiting | connection =  |remaining_time = 0 | zone = priority_hub
D4 | status = waiting | connection =  |remaining_time = 0 | zone = bottleneck1
D5 | status = waiting | connection =  |remaining_time = 0 | zone = dist_gate1
D6 | status = waiting | connection = None |remaining_time = 0 | zone = start
D7 | status = waiting | connection = None |remaining_time = 0 | zone = start
D8 | status = waiting | connection = None |remaining_time = 0 | zone = start
D9 | status = waiting | connection = None |remaining_time = 0 | zone = start
D10 | status = waiting | connection = None |remaining_time = 0 | zone = start
D11 | status = waiting | connection = None |remaining_time = 0 | zone = start
D12 | status = waiting | connection = None |remaining_time = 0 | zone = start
D13 | status = waiting | connection = None |remaining_time = 0 | zone = start
D14 | status = waiting | connection = None |remaining_time = 0 | zone = start
Turn 12
